년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
2018-01,서귀포시,대천동,기타 외국식 음식점업,1084,32066400,9229592.656,2020-12-15
2018-01,서귀포시,대천동,기타음식료품위주종합소매업,19,492100,9229592.656,2020-12-15
2018-01,서귀포시,대천동,비알콜 음료점업,1022,7757280,9229592.656,2020-12-15
2018-01,서귀포시,대천동,빵 및 과자류 소매업,3650,53851897,9229592.656,2020-12-15
2018-01,서귀포시,대천동,서양식 음식점업,1809,56211670,9229592.656,2020-12-15
2018-01,서귀포시,대천동,수산물 소매업,357,39585700,9229592.656,2020-12-15
2018-01,서귀포시,대천동,슈퍼마켓,5998,149266070,9229592.656,2020-12-15
2018-01,서귀포시,대천동,스포츠 및 레크레이션 용품 임대업,36,11914900,9229592.656,2020-12-15
2018-01,서귀포시,대천동,여관업,744,194228980,9229592.656,2020-12-15
2018-01,서귀포시,대천동,여행사업,2,730000,9229592.656,2020-12-15
2018-01,서귀포시,대천동,육류 소매업,37,1799570,9229592.656,2020-12-15
2018-01,서귀포시,대천동,일반유흥 주점업,3,2200000,9229592.656,2020-12-15
2018-01,서귀포시,대천동,일식 음식점업,864,55337000,9229592.656,2020-12-15
2018-01,서귀포시,대천동,전시 및 행사 대행업,10,895000,9229592.656,2020-12-15
2018-01,서귀포시,대천동,중식 음식점업,308,12370000,9229592.656,2020-12-15
2018-01,서귀포시,대천동,차량용 주유소 운영업,7503,390742246,9229592.656,2020-12-15
2018-01,서귀포시,대천동,체인화 편의점,16371,180300530,9229592.656,2020-12-15
2018-01,서귀포시,대천동,"피자, 햄버거, 샌드위치 및 유사 음식점업",5185,67063980,9229592.656,2020-12-15
2018-01,서귀포시,대천동,한식 음식점업,13132,478965436,9229592.656,2020-12-15
2018-01,서귀포시,대천동,호텔업,288,33438630,9229592.656,2020-12-15
2018-01,서귀포시,대천동,화장품 및 방향제 소매업,52,1471150,9229592.656,2020-12-15
2018-01,서귀포시,대천동,휴양콘도 운영업,711,89009978,9229592.656,2020-12-15
2018-01,서귀포시,동홍동,건강보조식품 소매업,37,6400100,18264222.17,2020-12-15
