읍면동명,업종명,연령대,1인당 이용금액
이호일동,소매업,60_70,253868.50505050505
일도이동,소매업,60_70,890366.6425531915
일도일동,소매업,60_70,1347484.9519832986
조천읍,소매업,60_70,438096.1666666667
중문동,소매업,60_70,239557.10344827586
추자면,소매업,60_70,247734.57142857142
토평동,소매업,60_70,605346.6964285715
표선면,소매업,60_70,713376.0
하예동,소매업,60_70,97745.45454545454
하원동,소매업,60_70,147954.54545454544
하효동,소매업,60_70,257299.27272727274
한경면,소매업,60_70,319489.27125506074
한림읍,소매업,60_70,950677.0880626224
해안동,소매업,60_70,95091.66666666667
호근동,소매업,60_70,733853.5031847134
화북이동,소매업,60_70,289433.9869281046
화북일동,소매업,60_70,635705.3674540683
회수동,소매업,60_70,852209.8039215687
회천동,소매업,60_70,1117188.0
강정동,식음료,10_20,598329.3345008757
건입동,식음료,10_20,625420.9382022471
구좌읍,식음료,10_20,566634.6618357488
남원읍,식음료,10_20,526827.422907489
내도동,식음료,10_20,80229.13907284768
노형동,식음료,10_20,919893.5377049181
대정읍,식음료,10_20,378328.3156028369
대포동,식음료,10_20,827837.0044052864
도남동,식음료,10_20,492736.42954545456
도두이동,식음료,10_20,392217.509202454
도두일동,식음료,10_20,779593.2063492064
도련이동,식음료,10_20,132401.7142857143
도련일동,식음료,10_20,405162.75327510916
도순동,식음료,10_20,57135.0
도평동,식음료,10_20,22400.0
동홍동,식음료,10_20,577353.7388888889
법환동,식음료,10_20,594236.5009487666
보목동,식음료,10_20,149300.5747126437
봉개동,식음료,10_20,151487.7966101695
삼도이동,식음료,10_20,237952.7007481297
삼도일동,식음료,10_20,339673.52192982455
삼양삼동,식음료,10_20,204457.31707317074
삼양이동,식음료,10_20,368651.22463768115
삼양일동,식음료,10_20,194452.4886877828
상예동,식음료,10_20,692842.700729927
상효동,식음료,10_20,150153.33333333334
색달동,식음료,10_20,389288.2444444444
서귀동,식음료,10_20,808773.4449917899
서호동,식음료,10_20,437978.22125813446
서홍동,식음료,10_20,434100.4982206406
성산읍,식음료,10_20,564715.3097199341
신효동,식음료,10_20,151820.9090909091
아라이동,식음료,10_20,806389.7673992674
아라일동,식음료,10_20,846154.2358156028
안덕면,식음료,10_20,496996.1392931393
애월읍,식음료,10_20,554224.6933085502
연동,식음료,10_20,871220.2844827586
영평동,식음료,10_20,137033.50993377483
오등동,식음료,10_20,139002.63157894736
오라삼동,식음료,10_20,924728.1954887218
오라이동,식음료,10_20,590856.8303571428
오라일동,식음료,10_20,413035.8278145695
외도이동,식음료,10_20,177364.47368421053
외도일동,식음료,10_20,403625.8918406072
용담삼동,식음료,10_20,916078.5889570552
용담이동,식음료,10_20,743811.3218390804
용담일동,식음료,10_20,891981.6325088339
우도면,식음료,10_20,475930.3266331658
월평동,식음료,10_20,78172.3163841808
이도이동,식음료,10_20,962576.3495297806
이도일동,식음료,10_20,547782.036121673
이호이동,식음료,10_20,226629.02723735408
이호일동,식음료,10_20,521682.7388535032
일도이동,식음료,10_20,408695.4734848485
일도일동,식음료,10_20,571802.9286871961
조천읍,식음료,10_20,468004.4
중문동,식음료,10_20,341640.4
추자면,식음료,10_20,101519.48051948052
토평동,식음료,10_20,692120.4886363636
표선면,식음료,10_20,517578.75046904315
하예동,식음료,10_20,175943.11224489796
하원동,식음료,10_20,568571.3414634146
하효동,식음료,10_20,207634.75543478262
한경면,식음료,10_20,529515.392670157
한림읍,식음료,10_20,467081.0598290598
해안동,식음료,10_20,609796.6463414634
호근동,식음료,10_20,306894.3396226415
화북이동,식음료,10_20,271381.37974683545
화북일동,식음료,10_20,447547.8547717842
회수동,식음료,10_20,304729.4871794872
강정동,식음료,30_40_50,973165.570390554
건입동,식음료,30_40_50,835193.1395775941
구좌읍,식음료,30_40_50,810939.9807692308
남원읍,식음료,30_40_50,630891.9295644115
